Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_68,11045054458,95.955,36,51000000
gmm_69,6024576782,170.386,10,30000000
gmm_70,4016385614,90.297,16,16000000
gmm_71,4016385594,368.56,6,20000000
gmm_72,4016385602,107.605,24,16000000
gmm_73,8032767770,114.939,24,37000000
gmm_74,4016385610,69.178,32,19000000
gmm_75,16065532314,110.419,72,79000000
gmm_76,4016385554,89.652,60,16000000
gmm_77,9036863471,147.844,33,45000000
gmm_78,5020481166,88.749,24,23000000
gmm_79,7028672348,106.416,24,34000000
gmm_80,5020481121,176.884,9,21000000
gmm_81,10040959006,89.982,80,47000000
gmm_82,11045054535,124.387,40,52000000
gmm_83,13053245692,157.247,48,63000000
gmm_84,4016385550,99.978,20,19000000
gmm_85,8032767938,95.144,72,37000000
gmm_86,8032767866,106.522,48,40000000
gmm_87,12049150058,121.103,52,57000000
gmm_88,10040958866,107.085,42,49000000
gmm_89,5020481211,168.485,18,25000000
gmm_90,6024576782,131.629,16,27000000
gmm_91,8032767826,105.63,33,39000000
gmm_92,8032767906,129.216,48,36000000
gmm_93,6024576734,186.009,52,26000000
gmm_94,12049150118,177.027,54,58000000
gmm_95,5020481166,159.692,12,23000000
gmm_96,11045054403,123.639,45,51000000
gmm_97,9036863534,123.16,40,44000000
gmm_98,6024576812,108.964,42,29000000
gmm_99,4016385582,111.753,12,17000000
gmm_100,6024576734,102.243,35,28000000
gmm_101,15061436831,116.819,200,75000000
gmm_102,30122870516,136.812,200,150000000
gmm_103,15061436801,143.141,1000,75000000
gmm_104,30122870246,150.083,1000,150000000
gmm_105,45184303136,209.342,1000,225000000
gmm_106,2008194516,118.11,20,10000000
gmm_107,4016385638,114.155,20,20000000
gmm_108,6024576728,145.675,20,30000000
gmm_109,8032767906,175.186,20,40000000
gmm_110,10040959056,236.052,20,50000000
gmm_111,12049150202,262.794,20,60000000
gmm_112,14057341366,269.28,20,70000000
gmm_113,16065532314,409.352,20,80000000
gmm_114,18073723430,386.095,20,90000000
gmm_115,20081914406,351.252,20,100000000
gmm_116,6024576782,433.091,5,30000000
gmm_117,6024576776,247.317,10,30000000
gmm_118,6024576692,135.285,15,30000000
gmm_119,6024576758,123.53,20,30000000
gmm_120,6024576728,108.167,25,30000000
gmm_121,6024576752,121.714,30,30000000
gmm_122,6024576806,112.776,35,30000000
gmm_123,6024576824,130.573,40,30000000
gmm_124,6024576854,113.9,45,30000000
gmm_125,6024576782,110.551,50,30000000
